i,t,m,age,sex,HH_size
94354,2017,USA,10,Female,6
94355,2017,USA,2,Male,7
94356,2017,USA,58,Male,1
94357,2017,USA,8,Male,6
94358,2017,USA,5.40E-79,Male,4
94359,2017,USA,36,Male,5
94360,2017,USA,44,Male,1
94361,2017,USA,38,Female,7
94362,2017,USA,79,Male,3
94363,2017,USA,73,Female,1
94364,2017,USA,19,Female,3
94365,2017,USA,22,Male,7
94366,2017,USA,25,Male,2
94367,2017,USA,9,Female,4
94368,2017,USA,33,Female,2
94369,2017,USA,2,Male,7
94370,2017,USA,5.40E-79,Male,4
94371,2017,USA,10,Female,3
94372,2017,USA,68,Male,3
94373,2017,USA,80,Female,2
94374,2017,USA,52,Female,1
94375,2017,USA,30,Female,3
94376,2017,USA,66,Male,7
94377,2017,USA,33,Male,4
94378,2017,USA,13,Male,7
94379,2017,USA,24,Female,5
94380,2017,USA,63,Male,3
94381,2017,USA,80,Female,2
94382,2017,USA,32,Female,1
94383,2017,USA,4,Female,5
94384,2017,USA,5.40E-79,Female,3
94385,2017,USA,48,Female,3
94386,2017,USA,71,Female,2
94387,2017,USA,39,Female,1
94388,2017,USA,33,Female,5
94389,2017,USA,4,Male,4
94390,2017,USA,72,Female,2
94391,2017,USA,1,Male,4
94392,2017,USA,25,Male,3
94393,2017,USA,36,Male,6
94394,2017,USA,18,Female,4
94395,2017,USA,19,Male,3
94396,2017,USA,15,Female,7
94397,2017,USA,5.40E-79,Male,3
94398,2017,USA,39,Female,4
94399,2017,USA,62,Female,3
94400,2017,USA,6,Female,4
94401,2017,USA,57,Male,3
94402,2017,USA,10,Male,6
94403,2017,USA,7,Female,7
94404,2017,USA,80,Female,1
94405,2017,USA,39,Female,2
94406,2017,USA,34,Female,5
94407,2017,USA,76,Female,2
94408,2017,USA,72,Male,2
94409,2017,USA,23,Male,7
94410,2017,USA,80,Female,1
94411,2017,USA,13,Male,3
94412,2017,USA,80,Male,2
94413,2017,USA,16,Male,3
94414,2017,USA,32,Male,3
94415,2017,USA,37,Male,3
94416,2017,USA,28,Female,3
94417,2017,USA,3,Female,6
94418,2017,USA,76,Female,2
94419,2017,USA,10,Female,3
94420,2017,USA,80,Female,1
94421,2017,USA,75,Female,6
